POWERGRID,173.89333333333346,174.1,-0.11870572467922778
NTPC,112.46999999999997,116.45,-3.417775869471904
COALINDIA,137.3783333333334,146.35,-6.130281289146981
EICHERMOT,2541.0416666666656,2844.9,-10.680808932944373
RELIANCE,2092.5333333333333,2425.6,-13.731310466138961
CIPLA,886.5316666666664,950.2,-6.70051918894271
IOC,102.48833333333332,111.6,-8.16457586618878
BHARTIARTL,591.0283333333334,654.6,-9.71152866890721
UPL,739.838333333333,755.75,-2.105414047855372
SHREECEM,26778.625000000007,30535.55,-12.30344631093919
POWERGRID,173.89333333333346,174.1,-0.11870572467922778
NTPC,112.46999999999997,116.45,-3.417775869471904
COALINDIA,137.3783333333334,146.35,-6.130281289146981
EICHERMOT,2541.0416666666656,2844.9,-10.680808932944373
POWERGRID,173.89333333333346,174.1,-0.11870572467922778
NTPC,112.46999999999997,116.45,-3.417775869471904
COALINDIA,137.3783333333334,146.35,-6.130281289146981
EICHERMOT,2541.0416666666656,2844.9,-10.680808932944373
GRASIM,1454.7050000000008,1531.0,-4.983344219464348
ONGC,112.44833333333332,121.65,-7.564049869845197
ADANIPORTS,682.2433333333338,751.2,-9.179534966276124
HEROMOTOCO,2665.8150000000014,2817.2,-5.373597898622689
BPCL,445.8916666666666,490.8,-9.150027166530851
DIVISLAB,4791.885,5205.1,-7.938656317842119
DRREDDY,4553.054999999998,4915.95,-7.3819912733042905
ITC,202.0733333333333,209.3,-3.452779104953042
KOTAKBANK,1679.2233333333331,1774.55,-5.371878316568528
SBILIFE,1114.1950000000002,1244.65,-10.481259791909366
BAJAJFINSV,14603.175,16747.0,-12.801247984713685
SUNPHARMA,745.768333333333,784.25,-4.906811178408291
HDFCLIFE,662.0999999999997,736.05,-10.046871815773423
TITAN,1778.4150000000006,2020.65,-11.9879741667285
HINDALCO,424.23333333333335,469.25,-9.593322678032317
INDUSINDBK,971.9249999999996,991.95,-2.0187509451081636
TATACONSUM,782.6533333333336,870.05,-10.04501656992889
HDFC,2568.216666666665,2765.3,-7.127014549355777
BAJAJ-AUTO,3647.506666666666,3781.1,-3.533186991439891
NESTLEIND,18264.201666666668,20223.2,-9.686886018697995
ASIANPAINT,2958.8750000000014,3315.55,-10.757642020177611
SBIN,413.285,431.05,-4.121331632061242
BRITANNIA,3610.611666666667,4079.05,-11.484005671255145
ULTRACEMCO,7345.880000000002,7952.6,-7.629203027940528
ICICIBANK,675.9950000000008,721.15,-6.261526728142436
TECHM,1297.5416666666667,1461.15,-11.197230491964092
MARUTI,6697.051666666668,6846.9,-2.188557351988952
TATASTEEL,1374.4199999999994,1437.0,-4.354906054279792
M&M,743.5816666666667,754.75,-1.4797394280666836
WIPRO,597.88,686.45,-12.902614902760586
HCLTECH,1066.9216666666669,1200.15,-11.100973489424923
HINDUNILVR,2430.551666666667,2780.6,-12.588949627178764
AXISBANK,729.3033333333332,800.8,-8.928155178155194
HDFCBANK,1460.4199999999996,1565.7,-6.724148942964835
JSWSTEEL,694.6616666666667,686.65,1.1533192417411982
BAJFINANCE,6422.630000000004,7506.35,-14.437376354686322
LT,1573.0266666666655,1694.2,-7.1522449140204545
TCS,3369.881666666665,3852.0,-12.51605226722054
INFY,1628.1049999999996,1730.4,-5.911638927415656
TATAMOTORS,283.6533333333335,297.45,-4.638314562671545
LTTS,3671.8333333333358,4343.05,-15.454960607560686
LTI,4763.688333333333,5444.1,-12.49814784200635
SYNGENE,601.9716666666667,628.8,-4.266592451229845
AUBANK,1216.6999999999998,1167.45,4.047834305909409
JSWENERGY,236.7083333333333,256.7,-7.787949616932881
DHANI,197.6666666666666,207.35,-4.670042601077113
HDFCAMC,2869.158333333334,3188.75,-10.02247484646541
YESBANK,11.38166666666666,11.0,3.353346024308047
HINDZINC,309.0633333333333,328.05,-5.787735609409156
PRESTIGE,345.5633333333334,479.45,-27.925053012131944
TATAELXSI,4371.903333333335,4876.3,-10.343839933282727
DALBHARAT,1978.1716666666666,2276.75,-13.114234471651844
SRTRANSFIN,1272.7216666666657,1346.45,-5.475757238169584
NAM-INDIA,387.10833333333323,421.3,-8.115752828546588
ISEC,693.8466666666665,753.35,-7.8984978208447005
AMBUJACEM,395.8966666666665,438.3,-9.674499961974341
RECLTD,144.84833333333327,152.75,-5.172940534642702
LAURUSLABS,644.8750000000001,660.65,-2.387799894043724
PFC,124.22166666666674,128.35,-3.216465394104604
VBL,779.4683333333336,939.35,-17.020457408491662
SIEMENS,2075.001666666666,2233.25,-7.086010672040027
GODREJPROP,1494.636666666666,1605.25,-6.890723148003981
ATGL,1053.745,1404.45,-24.97098508312864
CUMMINSIND,921.2650000000002,1047.3,-12.034278621216437
HAVELLS,1205.8733333333325,1430.45,-15.699721532851028
MUTHOOTFIN,1461.278333333334,1525.0,-4.178469945355141
SAIL,124.66166666666662,121.45,2.576306536358371
ESCORTS,1218.0250000000003,1386.9,-12.176436657293227
AJANTPHARM,2186.4066666666668,2210.75,-1.1011346074107542
MANAPPURAM,174.4616666666666,168.3,3.5318169225330758
VOLTAS,981.7249999999999,1123.2,-12.595708689458702
TORNTPOWER,451.975,478.85,-5.612404719640806
ACC,2276.7433333333324,2472.75,-7.926667340680115
ICICIGI,1444.2733333333342,1563.35,-7.616763147514356
DIXON,4046.286666666666,4288.25,-5.642472648127652
COLPAL,1625.8200000000004,1702.55,-4.506769257877863
PAGEIND,30696.92666666666,32014.2,-4.1146532892695795
INDHOTEL,138.51500000000001,145.95,-5.0942103460088894
BIOCON,355.78666666666663,361.5,-1.5804518211157308
